Material compositions joined,NdUnfilled_min_value,MendeleevNumber_composition_average,MeltingT_difference,AtomicVolume_difference,MendeleevNumber_max_value,valence_max_value,BCCenergy_pa_max_value,HeatVaporization_max_value,HeatFusion_difference,ThermalExpansionCoefficient_difference,MiracleRadius_min_value,NdUnfilled_composition_average,ICSDVolume_min_value,HeatFusion_max_value
PtIr,-0.503,0.2628,-0.3426,-0.8655,-0.377,-0.5608,-0.0212,0.8039,0.4163,-0.6186,0.1987,-0.2387,-0.1867,1.0172
PtLa,-0.503,-1.8941,-0.1417,2.2888,-0.377,-0.5608,-0.0212,0.4276,0.1787,-0.5327,0.4522,1.2881,0.1566,-0.3139
PtMn,-0.503,-0.1043,-0.5759,-0.5741,-0.377,1.3491,-0.0212,0.4276,-0.3582,0.1331,-0.1392,0.2703,-0.6091,-0.3139
PtMo,-0.503,-0.1961,-0.1334,-1.0268,-0.377,0.7125,-0.0212,0.9939,0.1251,-0.504,0.4522,0.2703,0.1566,0.7614
PtNb,-0.503,-0.3338,-0.3279,-0.6503,-0.377,0.0758,-0.0212,1.7002,-0.4734,-0.683,0.4522,0.5247,0.1566,0.2359
PtNi,-0.503,0.3087,-0.8543,-0.3828,-0.377,-0.5608,-0.0212,0.4276,-0.7238,-0.4611,-0.6461,-0.4932,-0.9788,-0.3139
PtOs,-0.503,0.1251,0.4127,-0.8407,-0.377,1.9858,-0.0212,1.2574,1.7548,-0.5255,0.1142,0.0158,-0.1867,2.1926
PtPd,-0.8555,0.3546,-0.9876,-0.9482,-0.377,-0.5608,-0.0212,0.4276,-0.6646,-0.5756,0.4522,-1.0021,0.051,-0.3139
PtRe,-0.503,-0.0125,0.6165,-0.95,-0.377,1.3491,-0.0212,1.8206,-0.147,-0.6042,0.2832,0.2703,0.051,0.5225
PtRh,-0.503,0.2169,-1.0112,-0.8018,-0.377,0.7125,-0.0212,0.4276,-0.7462,-0.7474,-0.1392,-0.4932,-0.794,-0.0037
PtRu,-0.503,0.0793,-0.5184,-0.7781,-0.377,1.9858,-0.0212,0.8336,0.2139,-0.6186,0.0298,-0.2387,-0.1339,0.8394
PtSc,-0.503,-1.9859,-0.9689,0.4043,-0.377,-0.5608,-0.0212,0.4276,-0.4534,-0.7045,0.4522,1.2881,0.1566,-0.3139
PtTa,-0.503,-0.2879,0.3914,-0.6436,-0.377,0.0758,-0.0212,2.0324,0.0523,-0.6114,0.4522,0.7792,0.1566,0.6975
PtTc,-0.503,-0.0584,-0.7541,-0.8659,-0.377,1.3491,-0.0212,0.4276,-0.2102,-0.7331,0.1987,0.2703,-0.081,0.467
PtTi,-0.503,-0.5173,-1.138,-0.7054,-0.377,-0.5608,-0.0212,0.4276,-0.4574,-0.776,0.4522,1.0337,0.1566,-0.3139
PtV,-0.503,-0.3797,-1.0832,-0.8198,-0.377,0.0758,-0.0212,0.4276,-1.0454,-0.7617,0.0298,0.7792,-0.1867,-0.3139
PtW,-0.503,-0.1502,0.9308,-0.9729,-0.377,0.7125,-0.0212,0.4276,1.3116,-0.4826,0.1142,0.5247,0.1566,1.8033
PtY,-0.503,-1.94,-0.9489,1.6089,-0.377,-0.5608,-0.0212,0.4276,-0.2366,-0.6114,0.4522,1.2881,0.1566,-0.3139
PtZr,-0.503,-0.4714,-1.1564,0.1419,-0.377,-0.5608,-0.0212,0.9946,-1.0054,-0.5684,0.4522,1.0337,0.1566,-0.3139
WW,1.2597,-0.7009,-1.2718,-1.0479,-1.5853,0.7125,-2.1059,-0.1949,-1.0995,-0.7904,0.1142,1.7971,0.3414,1.8033
WAg,-0.8555,-0.0584,2.0051,-0.8647,-0.1756,0.7125,-2.1059,-0.1949,2.1817,0.2404,0.1142,0.2703,0.3414,1.8033
WAl,-0.8555,0.3087,2.4066,-0.9372,0.6299,0.7125,-2.1059,-0.1949,2.2289,0.5411,0.1142,0.2703,0.3414,1.8033
WAs,-0.8555,0.8135,2.1981,-0.1652,1.7375,0.7125,-2.1059,-0.1949,1.1304,-0.0101,-1.5753,0.2703,0.3414,1.8033
WAu,-0.8555,-0.0125,1.8687,-0.8841,-0.075,0.7125,-2.1059,-0.1949,2.0817,-0.096,0.1142,0.2703,0.3414,1.8033
WCa,-0.8555,-2.7201,2.1648,3.0275,-1.5853,0.7125,-2.1059,-0.1949,2.4025,0.4838,0.1142,0.2703,0.3414,1.8033
WCd,-0.8555,0.171,2.8585,-0.1868,0.3278,0.7125,-2.1059,-0.1949,2.5889,1.0923,0.1142,0.2703,0.3414,1.8033
WCo,0.2021,-0.3797,1.295,-0.316,-0.8805,0.7125,-2.1059,-0.1949,1.7896,-0.1819,-0.7305,1.0337,-0.8996,1.8033
WCr,0.9072,-0.7927,0.7462,-0.4811,-1.5853,0.7125,-2.1059,-0.1949,1.4056,-0.7617,-0.3082,1.5426,-0.6619,1.8033
WCu,-0.8555,-0.1043,1.8414,-0.4415,-0.2763,0.7125,-2.1059,-0.1949,1.9977,0.0686,-0.6461,0.2703,-0.7148,1.8033
WFe,0.5546,-0.5173,1.2377,-0.4336,-1.1826,0.7125,-2.1059,-0.1949,1.9808,-0.2678,-0.7305,1.2881,-0.7412,1.8033
WGa,-0.8555,0.3546,3.2465,-0.4832,0.7306,0.7125,-2.1059,-0.1949,2.6389,0.2977,0.0298,0.2703,0.3414,1.8033
WGe,-0.8555,0.5841,2.0364,-0.0241,1.234,0.7125,-2.1059,-0.1949,0.1303,-0.7045,-1.6598,0.2703,0.3414,1.8033
WHf,1.2597,-0.9763,0.312,-0.0832,-1.5853,0.7125,-2.1059,1.4945,0.9095,-0.6901,0.1142,2.306,0.3414,1.8033
WHg,-0.8555,0.2169,3.3379,0.2695,0.4285,0.7125,-2.1059,-0.1949,2.9021,2.3951,0.1142,0.2703,0.3414,1.8033
WIn,-0.8555,0.4005,3.0776,0.4908,0.8313,0.7125,-2.1059,-0.1949,2.8225,1.1853,0.1142,0.2703,0.3414,1.8033
WMg,-0.8555,0.0793,2.4205,0.0603,0.1264,0.7125,-2.1059,-0.1949,2.4073,0.6628,0.1142,0.2703,0.3414,1.8033
WMn,0.9072,-0.655,1.6267,-0.4992,-1.4846,1.3491,-2.1059,-0.1949,2.0529,0.4409,-0.1392,1.5426,-0.6091,1.8033
WMo,0.9072,-0.7468,-0.2075,-0.994,-1.5853,0.7125,-2.1059,0.9939,0.0871,-0.7689,0.1142,1.5426,0.2622,1.8033
WNi,-0.1505,-0.242,1.3483,-0.3078,-0.5784,0.7125,-2.1059,-0.1949,1.6872,-0.1533,-0.6461,0.7792,-0.9788,1.8033
WP,-0.8555,0.7676,3.2273,0.8116,1.6368,0.7125,-2.1059,-0.1949,1.6024,7.9785,-2.6736,0.2703,0.3414,1.8033
WPd,-0.8555,-0.1961,1.215,-0.8733,-0.4777,0.7125,-2.1059,-0.1949,1.7464,-0.2678,0.1142,0.2703,0.051,1.8033
WPt,-0.503,-0.1502,0.9308,-0.9729,-0.377,0.7125,-2.1059,0.4276,1.3116,-0.4826,0.1142,0.5247,0.1566,1.8033
WRh,-0.1505,-0.3338,0.6703,-0.7268,-0.7798,0.7125,-2.1059,0.3209,0.9583,-0.5255,-0.1392,0.7792,-0.794,1.8033
WRu,0.2021,-0.4714,0.1775,-0.7031,-1.0819,1.9858,-2.1059,0.8336,-0.0017,-0.6543,0.0298,1.0337,-0.1339,1.8033
WSc,1.2597,-2.5366,1.2337,0.3293,-1.5853,0.7125,-2.1059,-0.1949,1.9576,-0.3967,0.1142,2.5605,0.3414,1.8033
WSi,-0.8555,0.5382,1.4029,-0.4222,1.1333,0.7125,-2.1059,-0.1949,-0.9314,-0.6543,-1.9977,0.2703,0.3414,1.8033
WSr,-0.8555,-2.6742,2.2514,4.8916,-1.5853,0.7125,-2.1059,-0.1949,2.4913,0.4981,0.1142,0.2703,0.3414,1.8033
WTl,-0.8555,0.4464,2.8814,0.8759,0.932,0.7125,-2.1059,-0.1949,2.7544,1.0278,0.1142,0.2703,0.3414,1.8033
WV,1.2597,-0.9304,0.7422,-0.7448,-1.5853,0.7125,-2.1059,-0.024,1.3656,-0.5112,0.0298,2.0515,-0.1867,1.8033
WY,1.2597,-2.4907,1.2537,1.5339,-1.5853,0.7125,-2.1059,-0.1949,2.1745,-0.3036,0.1142,2.5605,0.3414,1.8033
WZn,-0.8555,0.1251,2.7273,-0.9496,0.2271,0.7125,-2.1059,-0.1949,2.5203,1.0493,0.1142,0.2703,0.1566,1.8033
WZr,1.2597,-1.0221,0.8155,0.0669,-1.5853,0.7125,-2.1059,0.9946,1.4056,-0.7045,0.1142,2.306,0.3414,1.8033
ZrZr,1.9648,-1.3434,-1.2718,-1.0479,-2.2902,-0.5608,-0.7747,0.9946,-1.0995,-0.7904,2.0573,2.815,2.2954,-0.3965
ZrCr,0.9072,-1.1139,-1.2025,0.6337,-1.7867,0.7125,-0.7747,0.9946,-1.0995,-0.7331,-0.3082,2.0515,-0.6619,-0.3965
ZrCu,-0.8555,-0.4256,-0.2458,0.6733,-0.2763,-0.5608,-0.7747,0.9946,-0.5074,-0.0173,-0.6461,0.7792,-0.7148,-0.3965
ZrV,1.6122,-1.2516,-1.1985,0.37,-2.0888,0.0758,-0.7747,0.9946,-1.0595,-0.5971,0.0298,2.5605,-0.1867,-0.3613
ZrZn,-0.8555,-0.1961,0.6401,0.1652,0.2271,-0.5608,-0.7747,0.9946,0.0152,0.9634,0.5366,0.7792,0.1566,-0.3965
ZrMo,0.9072,-1.068,-0.2488,0.1208,-1.686,0.7125,-0.7747,0.9946,0.2191,-0.7259,0.4522,2.0515,0.2622,0.7614
ZrW,1.2597,-1.0221,0.8155,0.0669,-1.5853,0.7125,-0.7747,0.9946,1.4056,-0.7045,0.1142,2.306,0.3414,1.8033
ZrAl,-0.8555,-0.0125,0.3194,-0.0438,0.6299,-0.5608,-0.7747,0.9946,-0.2762,0.4552,0.6211,0.7792,0.5527,-0.3965
ZrAu,-0.8555,-0.3338,-0.2186,-0.0969,-0.075,-0.5608,-0.7747,0.9946,-0.4234,-0.1819,0.7901,0.7792,0.6319,-0.3965
ZrAg,-0.8555,-0.3797,-0.0822,-0.1162,-0.1756,-0.5608,-0.7747,0.9946,-0.3234,0.1545,0.8746,0.7792,0.6583,-0.3965
ZrNb,1.2597,-1.2057,-0.4433,-0.2557,-1.9881,0.0758,-0.7747,1.7002,-0.3794,-0.6758,0.7901,2.306,0.9487,0.2359
ZrTa,1.6122,-1.1598,0.276,-0.2624,-1.8874,0.0758,-0.7747,2.0324,0.1463,-0.7474,0.959,2.5605,0.8167,0.6975
ZrTi,1.9648,-1.3893,-1.0227,-0.2006,-2.2902,-0.5608,-0.7747,0.9946,-0.5514,-0.5828,0.7056,2.815,0.8167,-0.3965
ZrHf,1.9648,-1.2975,-0.7683,-0.8978,-2.1895,-0.5608,-0.7747,1.4945,-0.6034,-0.776,2.0573,2.815,2.0841,0.0391
ZrSn,-0.8555,0.3087,0.89,-0.4909,1.3347,-0.5608,-0.7747,0.9946,0.0087,0.3764,1.8038,0.7792,2.2954,-0.3965
